gene_symbol,legacy_variability_bin
AGPS,4
AGR2,7
AGRN,2
AGT,4
AGTPBP1,8
AGTR1,9
AGTR2,9
AGTRAP,0
AHCTF1,4
AHCY,4
AHCYL1,2
AHCYL2,0
AHDC1,8
AHI1,9
AHNAK,6
AHR,8
AHRR,4
AHSA1,0
AHSP,2
AICDA,6
AIDA,0
AIF1,4
AIF1L,0
AIFM1,3
AIFM2,4
AIFM3,4
AIG1,6
AIMP1,6
AIP,1
AIPL1,6
AJAP1,0
AJUBA,1
AK1,1
AK2,4
AK5,6
AK7,2
AK8,2
AK9,6
AKAIN1,7
AKAP1,3
AKAP10,4
AKAP11,6
AKAP12,1
AKAP13,0
AKAP3,6
AKAP5,0
AKAP6,4
AKAP7,7
AKAP8,1
AKAP9,4
AKIP1,2
AKIRIN1,1
AKIRIN2,6
AKNA,2
AKNAD1,8
AKR1B1,2
AKR1E2,0
AKT1,8
AKT1S1,0
AKT2,7
AKT3,4
AKTIP,7
ALAD,2
ALAS1,9
ALAS2,9
ALCAM,4
ALDH16A1,0
ALDH18A1,2
ALDH1A1,2
ALDH1A2,4
ALDH1A3,0
ALDH1B1,1
ALDH1L1,4
ALDH1L2,4
ALDH3A1,6
ALDH3A2,2
ALDH3B1,6
ALDH4A1,6
ALDH5A1,9
ALDH6A1,1
ALDH7A1,1
ALDH8A1,7
ALDH9A1,3
ALDOC,7
ALG11,0
ALG12,2
ALG14,0
ALG2,3
ALG3,1
ALG5,8
ALG6,2
ALG8,9
ALK,6
ALKBH1,0
ALKBH2,9
ALKBH3,0
ALKBH4,4
ALKBH5,4
ALKBH6,6
ALKBH7,2
ALMS1,7
ALOX12B,1
ALOX15,3
ALOX15B,2
ALOX5,4
ALOXE3,6
ALPK1,7
ALPK2,7
ALPK3,6
ALPL,3
ALS2,6
ALS2CL,3
ALX1,2
ALX3,8
ALX4,6
ALYREF,4
AMBN,6
AMBRA1,4
AMD1,9
AMDHD1,0
AMFR,1
AMHR2,7
AMIGO2,6
AMIGO3,4
AMMECR1,3
AMMECR1L,0
AMOT,4
AMOTL1,9
AMOTL2,4
AMPD1,8
AMPD2,4
AMPH,1
AMT,2
AMZ2,4
ANAPC1,6
ANAPC10,4
ANAPC11,6
ANAPC13,1
ANAPC15,0
ANAPC16,6
ANAPC2,6
ANAPC4,4
ANAPC5,8
ANAPC7,6
ANGEL1,4
ANGEL2,7
ANGPT1,6
ANGPT2,4
ANGPT4,6
ANGPTL1,4
ANGPTL2,1
ANGPTL4,4
ANGPTL5,7
ANGPTL6,4
ANGPTL7,6
ANK1,6
ANK2,4
ANK3,8
ANKAR,6
ANKDD1A,1
ANKEF1,9
ANKFN1,2
ANKFY1,6
ANKH,4
ANKIB1,4
ANKLE1,1
ANKLE2,7
ANKMY1,4
ANKMY2,6
ANKRA2,2
