task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	6f/8c50e3	2087	RUN_MULTIPLICITY (projectwide_primary_multiplicity__paper4_projectwide_primary_multiplicity.csv)	COMPLETED	0	2026-08-07 19:09:47.787	1.8s	1.2s	310.5%	63.9 MB	1.4 GB	9.8 MB	2.6 KB
2	64/f07f25	2155	VERIFY_MULTIPLICITY (locked-reference)	COMPLETED	0	2026-08-07 19:09:49.682	1.2s	704ms	528.2%	3 MB	4.2 MB	9.9 MB	936 B
