relative_path,filename,suffix,size_bytes,sha256,category,candidate_priority,declared_script,declared_script_version,selected_for_reference_registry,notes
results/tables/Ammons_scRNA_six_dog_compartment_scores.csv,Ammons_scRNA_six_dog_compartment_scores.csv,.csv,10894,a3dda4b5a0bc986c3404427c4dba5007a682534856d0122b30069606b1d165ba,single_cell,medium,,,,
results/tables/Ammons_scRNA_six_dog_localization_manifest.json,Ammons_scRNA_six_dog_localization_manifest.json,.json,6536,9bd7cec81c817ce04eb49a43d9a516f36c16a419d0547ef92ec92f3a480eac0d,single_cell,high,,44-recompute-ammons-six-dog-localization-v1,,
results/tables/Ammons_scRNA_six_dog_localization_README.txt,Ammons_scRNA_six_dog_localization_README.txt,.txt,4494,c66133bb02b994a7c06ee112a3607d05ece1bcd0f36299c8f9a5c5b4519699fe,single_cell,low,,,,
results/tables/Ammons_scRNA_targeted_eight_sample_vs_six_dog_comparison.csv,Ammons_scRNA_targeted_eight_sample_vs_six_dog_comparison.csv,.csv,2087,c198453f93f0005a34c4603b80df5b65c4d2d798980e5631188e057f26013630,single_cell,medium,,,,
results/tables/Ammons_scRNA_targeted_localization_tests.csv,Ammons_scRNA_targeted_localization_tests.csv,.csv,1802,5f75eac6ccc4f12b710c02f4220e78ee13e5692a7c694097b4fbb0e9049f2203,single_cell,low,,,,
results/tables/Ammons_scRNA_targeted_localization_tests_six_dogs.csv,Ammons_scRNA_targeted_localization_tests_six_dogs.csv,.csv,2038,acc4f4b2486ddd7beffd15560bc76c1c993d7c56e4c21f6653bed0b8ca12c5fb,single_cell,medium,,,,
results/tables/Ammons_scRNA_targeted_sign_consistency_audit.csv,Ammons_scRNA_targeted_sign_consistency_audit.csv,.csv,1040,891cc42beabd3971d445da22b8f7cc1e6600ef4d3ba7b1fe0c03d066a17c306b,single_cell,low,,,,
results/tables/cross_cohort_conservative_preservation_classification.csv,cross_cohort_conservative_preservation_classification.csv,.csv,4174,184fd8eade2b83039c776aa0a6dcae422897907469b571f3ae65b69be7f5f25e,other,medium,,,,
results/tables/cross_cohort_conservative_preservation_manifest.json,cross_cohort_conservative_preservation_manifest.json,.json,1059,4abe64e72bfdbec2eada438aaecc0a43b49d15e6f8995a0aed5b966cc23c4175,other,high,,28-conservative-module-preservation-audit-v1,,
results/tables/cross_cohort_conservative_preservation_README.txt,cross_cohort_conservative_preservation_README.txt,.txt,1194,6f08da2fca860c56f0a6f7734494ea352e006f118ba14594f4fa9f8d001677dc,other,low,,,,
results/tables/cross_cohort_disjoint_split_half_reliability.csv,cross_cohort_disjoint_split_half_reliability.csv,.csv,465432,79e0a786216c3f156c478a8e3ad3df7f220e99d68466298d3105a695a230084d,other,low,,,,
results/tables/cross_cohort_edge_preservation_audit.csv,cross_cohort_edge_preservation_audit.csv,.csv,8020,e29862c72b0f5f0d404e72dd1e1c4f81d1284dc07fabe0de058062f60220b861,other,medium,,,,
results/tables/cross_cohort_module_gene_loading_concordance.csv,cross_cohort_module_gene_loading_concordance.csv,.csv,80614,eb41dc78d5a175f982f90c5d1f0deb41ce64247dbf6d41e24d01eddc3f7c7174,other,low,,,,
results/tables/cross_cohort_module_gene_subset_reliability.csv,cross_cohort_module_gene_subset_reliability.csv,.csv,2983449,9de3a89515672f200b8811288c82af6a5d6af962de1148635b9496445fb6b9b0,other,low,,,,
results/tables/cross_cohort_module_preservation_manifest.json,cross_cohort_module_preservation_manifest.json,.json,1832,d76df559950f8f45e22f53055805c9bbd866135409a5173f87f70cf81001c3e3,other,high,,27-cross-cohort-module-preservation-v1,,
results/tables/cross_cohort_module_preservation_outcome_synthesis.csv,cross_cohort_module_preservation_outcome_synthesis.csv,.csv,10210,0da091252528976a82d7c13d000a541752af577911b28b3b35fe851a3463b742,other,medium,,,,
results/tables/cross_cohort_module_preservation_README.txt,cross_cohort_module_preservation_README.txt,.txt,1269,6960fa2e7f8474a35de1ac2909973b024619e2d7d459f624ee0382954d7c2b0f,other,low,,,,
results/tables/cross_cohort_module_representation_preservation.csv,cross_cohort_module_representation_preservation.csv,.csv,7808,430428f52a2a66f8b87ee9258cbc331fba2456266fece84fa01b8cccbea0b983,other,medium,,,,
results/tables/cross_cohort_module_structure_random_controls.csv,cross_cohort_module_structure_random_controls.csv,.csv,2636,6b6e49fa6c27f56804b65ac2ea5d4282d4028a3c0aed52b876cfe9b36f6202aa,other,low,,,,
results/tables/cross_cohort_module_structure_random_distribution.csv,cross_cohort_module_structure_random_distribution.csv,.csv,474634,169600d8a9895283a5ba6cbe032d6f60f3ed499e8fdf022f8113c3340cbba931,other,low,,,,
results/tables/frozen_strict_human_proliferation_mapping.csv,frozen_strict_human_proliferation_mapping.csv,.csv,7235,72e539d40b3eeb604986e224a345f5218a42f5fcd70ea48b27d000c178413de8,human_outcome_transport,low,,,,
results/tables/GSE21257_frozen_transfer_score_coverage.csv,GSE21257_frozen_transfer_score_coverage.csv,.csv,7311,94e9d7e7df4c359a5cd8fb43a6a782df8acf0b53a2ed75265786a0c7921dd845,other,low,,,,
results/tables/GSE21257_GEO_phenotype_raw.csv,GSE21257_GEO_phenotype_raw.csv,.csv,123501,2ddad092cab45a8fb676eb09af041f953abebd30ad6a6903fecf30a62fd3ef00,other,low,,,,
results/tables/GSE21257_metastasis_primary_frozen_program_validation.csv,GSE21257_metastasis_primary_frozen_program_validation.csv,.csv,1754,66f8f57539d9fd9d666dd4fd27ffa017d0884fd694b68e0ec7fa5243842a2ac8,other,medium,,,,
results/tables/GSE21257_OS_frozen_program_sensitivity.csv,GSE21257_OS_frozen_program_sensitivity.csv,.csv,2570,f9052c4e43dce2daa21b0132328e0636e1b0959d9309257a124870cf523a93a8,other,low,,,,
results/tables/GSE21257_primary_adjustment_robustness.csv,GSE21257_primary_adjustment_robustness.csv,.csv,867,8fa0152456d6c015ab9fe4cf3c2cdced8d24b4100a1366c43911294f34f8067f,other,medium,,,,
results/tables/GSE21257_primary_leave_one_out_stability.csv,GSE21257_primary_leave_one_out_stability.csv,.csv,392,25bcae9d8ddca315c8a7d4cc0dcabc5ab9f2ccb0abe26a46e6861da5e26ab275,other,medium,,,,
results/tables/GSE21257_primary_robust_logistic_effects.csv,GSE21257_primary_robust_logistic_effects.csv,.csv,1057,d39a1bb3d13470ad8a03d0f6088771d4bf77bb19bfc6a995b0da1a1bcd5f9844,other,medium,,,,
results/tables/GSE21257_probe_to_gene_symbol_selected.csv,GSE21257_probe_to_gene_symbol_selected.csv,.csv,1196277,cdd7e04e9e3f2ca4a9bebf626e0b52f7edd3039b5341d2de8bd30fa22132aea6,other,low,,,,
results/tables/GSE238110_candidate_gene_proliferation_adjustment_results.csv,GSE238110_candidate_gene_proliferation_adjustment_results.csv,.csv,25941,e2b0224fab6e3bc3d37fb24336846321131371a105eeb951aad22647c90df983,other,low,,,,
results/tables/GSE238110_candidate_gene_residualized_proliferation_analysis.csv,GSE238110_candidate_gene_residualized_proliferation_analysis.csv,.csv,66865,8c047c8e9619933fbbd112dd88ab771e940f4fb848f7bebb9e4e33978523ef62,other,low,,,,
results/tables/GSE238110_clinical_survival_associations.csv,GSE238110_clinical_survival_associations.csv,.csv,1883,606f057403fc3e8eb8990ea2194e786a7e61b64eae7ea2936ff2302a01b3a2eb,other,low,,,,
results/tables/GSE238110_conditional_cox_mb_selected_combined.csv,GSE238110_conditional_cox_mb_selected_combined.csv,.csv,2250,61275cd5f4b92b436868ec31b2cfaa6d4af0a9d12d1e82e4b58584d0a5c6f816,other,low,,,,
results/tables/GSE238110_dfi_conditional_cox_mb_selected.csv,GSE238110_dfi_conditional_cox_mb_selected.csv,.csv,1354,b1d23a3227e94b85daa1694a9f9fec4c39c5266b69429906a37bb33cc876b301,other,low,,,,
results/tables/GSE238110_dfi_conditional_cox_mb_step_log.csv,GSE238110_dfi_conditional_cox_mb_step_log.csv,.csv,267477,ff0c2cf0e8adf906f7fa0cd4c64232ce3c1cfa4f3570e437a8de281b5b169113,other,low,,,,
results/tables/GSE238110_dfi_os_univariate_cox_merged.csv,GSE238110_dfi_os_univariate_cox_merged.csv,.csv,1095087,fe785f64268d8116bfccdf11dcf094f3f9eb5d14a4248f4fa5f08be53320f19e,other,low,,,,
results/tables/GSE238110_dfi_os_univariate_cox_overlap_summary.csv,GSE238110_dfi_os_univariate_cox_overlap_summary.csv,.csv,179,abb961ad33b9e876d7f50bf1b95cb63b210ddec6864e9f42c8948c216ca5b10e,other,low,,,,
results/tables/GSE238110_dfi_univariate_cox_top5000var.csv,GSE238110_dfi_univariate_cox_top5000var.csv,.csv,1003680,e170b9f7f86381915e10c8a32c46782ba4ba710258ee6628e57b7b1e2e66e57f,other,low,,,,
results/tables/GSE238110_dfi_univariate_cox_top_hits_top5000var.csv,GSE238110_dfi_univariate_cox_top_hits_top5000var.csv,.csv,40618,2a951335efbd5f6dc6daaa15f9c6878f69dbb558fdc596603f67ccdbd374cf51,other,low,,,,
results/tables/GSE238110_frozen_canine_transfer_program_manifest.csv,GSE238110_frozen_canine_transfer_program_manifest.csv,.csv,14880,fcd34b985ea99986f39dfc43ce8e4018db2fde9ecc8a225bb40ac93006d5372c,other,high,,,,
